server_time,device_timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_c
2026-04-03T14:58:43.511,134447,0.000427,-0.003662,1.002075,-0.006441,0.005688,-0.106803,-3.346812,-1.792927,6.931879,33.72351
2026-04-03T14:58:44.174,135164,-6.1e-05,-0.001221,0.999634,0.115629,-0.116382,0.015267,1.673411,-7.171736,1.732962,33.71453
2026-04-03T14:58:45.156,135839,-0.001038,-0.001709,1.00061,0.176664,-0.055347,0.015267,3.346818,-8.964672,3.465934,33.72351
2026-04-03T14:58:45.867,136812,0.002869,-0.002197,1.001099,0.115629,-0.055347,-0.045768,-1.673404,7.171756,1.732962,33.74448
2026-04-03T14:58:46.797,137529,-6.1e-05,-0.00415,0.996704,0.176664,-0.055347,0.015267,8.36704,10.75763,8.66485,33.70854
2026-04-03T14:58:47.604,138560,-0.004944,-0.003662,0.996704,0.054594,-0.116382,0.198373,1.673411,10.75763,-8.66487,33.69057
2026-04-03T14:58:48.422,139261,0.000427,-0.003662,0.999146,0.115629,-0.116382,-0.045768,3.303422e-06,-19.72229,-10.39784,33.71153
2026-04-03T14:58:49.147,140079,0.00238,-0.000244,0.997681,0.176664,-0.055347,-0.106803,13.38726,12.55057,6.931879,33.69656
2026-04-03T14:58:49.858,140796,0.000916,-0.00415,1.001587,0.176664,-0.055347,0.076302,3.303422e-06,1.792946,-1e-05,33.72052
2026-04-03T14:58:50.679,141513,0.001892,-0.005615,0.999634,0.054594,-0.055347,0.076302,1.673411,-3.585863,1.732962,33.71753
2026-04-03T14:58:51.352,142332,-0.000549,-0.002197,0.996704,0.054594,-0.055347,0.015267,-3.346812,5.378819,-3.465954,33.72951
2026-04-03T14:58:52.111,142999,-6.1e-05,-0.003174,1.001099,0.115629,-0.116382,-0.106803,-5.020219,9.885856e-06,-1.732982,33.69955
2026-04-03T14:58:52.774,143771,-0.002991,-0.001709,0.996216,0.115629,0.066723,-0.045768,1.673411,-10.75761,-5.198926,33.73849
2026-04-03T14:58:53.595,144435,-0.001038,0.001221,1.001587,0.176664,0.005688,-0.106803,1.673411,-7.171736,5.198906,33.75646
2026-04-03T14:58:54.314,145251,0.001404,-0.001709,1.00061,0.115629,-0.055347,-0.106803,5.020225,-3.585863,5.198906,33.72651
2026-04-03T14:58:55.187,146130,0.000427,-0.003662,0.998169,0.115629,-0.055347,-0.045768,-3.346812,8.964693,6.931879,33.7325
2026-04-03T14:58:56.000,146957,0.001404,-0.000732,1.000122,0.115629,0.005688,-0.106803,6.693633,12.55057,-6.931898,33.72951
2026-04-03T14:58:56.716,147657,-0.004944,0.000244,1.00061,0.115629,-0.055347,0.198373,-1.673404,9.885856e-06,8.66485,33.74149
2026-04-03T14:58:57.489,148374,-0.002014,-0.005615,0.999146,0.115629,-0.055347,-0.167838,11.71385,-10.75761,12.13079,33.74747
2026-04-03T14:58:58.359,149147,0.001892,-0.002686,0.997681,0.115629,-0.055347,0.015267,-1.673404,9.885856e-06,12.13079,33.74448
2026-04-03T14:58:59.023,150013,0.00238,-0.003662,0.998169,0.176664,-0.116382,-0.045768,-3.346812,-8.964672,6.931879,33.71453
2026-04-03T14:58:59.791,150740,0.000916,-0.003174,0.999146,0.115629,0.005688,-0.167838,-5.020219,9.885856e-06,5.198906,33.7325
2026-04-03T14:59:00.670,151447,-0.004456,-0.001709,0.999634,0.2377,-0.055347,0.015267,6.693633,5.378819,-3.465954,33.74149
2026-04-03T14:59:01.481,152379,0.003357,-0.002686,1.002563,0.176664,0.066723,-0.045768,-15.06066,-3.585863,1.732962,33.72351
2026-04-03T14:59:02.213,153197,0.000916,-0.004639,0.999146,0.115629,0.005688,-0.045768,3.303422e-06,-8.964672,-1e-05,33.73849
2026-04-03T14:59:02.864,153853,0.001404,-0.003174,0.997192,0.115629,0.005688,-0.045768,15.06067,-7.171736,8.66485,33.72351
2026-04-03T14:59:03.579,154519,0.000427,-0.002197,1.00061,0.115629,-0.055347,-0.045768,-3.346812,1.792946,6.931879,33.72651
2026-04-03T14:59:04.296,155236,0.001892,-0.003662,1.001099,0.176664,-0.177418,0.015267,-3.346812,16.13644,6.931879,33.74149
2026-04-03T14:59:05.117,155952,0.00238,-0.003662,0.999146,0.115629,-0.055347,0.015267,-8.367034,-3.585863,-5.198926,33.71753
2026-04-03T14:59:05.831,156780,0.002869,-0.000732,1.004517,0.054594,-0.055347,-0.045768,3.346818,1.792946,3.465934,33.71453
2026-04-03T14:59:06.759,157491,0.00238,-0.003174,1.00061,0.054594,0.005688,-0.045768,-11.71385,3.585883,1.732962,33.71753
2026-04-03T14:59:07.574,158530,0.000916,-0.000244,0.998657,0.115629,-0.055347,-0.045768,8.36704,9.885856e-06,-12.13081,33.70554
2026-04-03T14:59:08.398,159231,0.000427,-0.002197,1.003052,0.176664,0.005688,-0.167838,-6.693626,-5.3788,3.465934,33.72351
2026-04-03T14:59:09.465,160169,-0.001038,-0.002197,0.996704,0.115629,0.005688,0.015267,-8.367034,3.585883,1.732962,33.72651
2026-04-03T14:59:10.496,161175,-0.000549,-0.00415,1.00061,0.176664,-0.055347,-0.045768,3.346818,1.792946,3.465934,33.71453
2026-04-03T14:59:11.210,162149,0.00238,-0.005615,0.995728,0.054594,-0.116382,0.015267,-5.020219,-3.585863,15.59674,33.69656
2026-04-03T14:59:12.077,162865,0.000916,-0.002197,0.995239,0.054594,-0.116382,0.015267,-1.673404,9.885856e-06,5.198906,33.71153
2026-04-03T14:59:13.112,163740,-0.001038,-0.001221,0.998657,0.176664,0.127758,0.015267,-1.673404,17.92938,5.198906,33.71753
2026-04-03T14:59:13.971,164768,-6.1e-05,-0.00415,0.999146,0.054594,-0.055347,-0.045768,-3.346812,-5.3788,10.39782,33.72052
2026-04-03T14:59:14.741,165633,0.001892,-0.003174,0.997681,0.115629,-0.177418,0.015267,-16.73407,-1.792927,-1e-05,33.69357
2026-04-03T14:59:15.562,166397,0.00238,-0.001709,0.996216,0.054594,-0.055347,-0.106803,-3.346812,1.792946,3.465934,33.69955
